rank,artist,title,youtube_views,youtube_url,youtube_upload_date,youtube_video_title,original_release_year
1,Sinead O'Connor,NOTHING COMPARES 2 U,546541603,https://www.youtube.com/watch?v=0-EF60neguk,,Sinéad O'Connor - Nothing Compares 2 U (Official Music Video) [HD],1990
2,Prince,PURPLE RAIN,270543261,https://www.youtube.com/watch?v=TvnYmWpD_T8,,Prince - Purple Rain (Official Video),1984
3,Dire Straits,BROTHERS IN ARMS,218016668,https://www.youtube.com/watch?v=jhdFe3evXpk,,Dire Straits - Brothers In Arms (Official Music Video),1985
4,Queen,BOHEMIAN RHAPSODY,2011902732,https://www.youtube.com/watch?v=fJ9rUzIMcZQ,,Queen – Bohemian Rhapsody (Official Video Remastered),1975
5,The Doors,RIDERS ON THE STORM,128821988,https://www.youtube.com/watch?v=iv8GW1GaoIc,,The Doors - Riders On The Storm,1971
6,Bruce Springsteen,STREETS OF PHILADELPHIA,229079003,https://www.youtube.com/watch?v=4z2DtNW79sQ,,Bruce Springsteen - Streets of Philadelphia (Official Video),1994
7,Archive,AGAIN,14501503,https://www.youtube.com/watch?v=r7rF2EZ0A_0,,Archive - Again,2002
8,Peter Gabriel & Kate Bush,DON'T GIVE UP,64046892,https://www.youtube.com/watch?v=VjEq-r2agqc,,Peter Gabriel - Don't Give Up (ft. Kate Bush),1986
9,Led Zeppelin,STAIRWAY TO HEAVEN,208574303,https://www.youtube.com/watch?v=2cZ_EFAmj08,,Heart - Stairway to Heaven Led Zeppelin - Kennedy Center Honors HD,1971
10,Eagles,HOTEL CALIFORNIA,770766210,https://www.youtube.com/watch?v=09839DpTctU,,Eagles - Hotel California (Live 1977) (Official Video) [HD],1977
11,The Animals,HOUSE OF THE RISING SUN,198153644,https://www.youtube.com/watch?v=N4bFqW_eu2I,,The Animals - House Of The Rising Sun (Music Video) [4K HD],1964
12,John Lennon,IMAGINE,336217610,https://www.youtube.com/watch?v=YkgkThdzX-8,,"IMAGINE. (Ultimate Mix, 2020) - John Lennon & The Plastic Ono Band (with the Flux Fiddlers) HD",1971
13,Deep Purple,CHILD IN TIME,199479813,https://www.youtube.com/watch?v=OorZcOzNcgE,,Deep Purple - Child In Time - Live (1970),1970
14,Alphaville,FOREVER YOUNG,84358947,https://www.youtube.com/watch?v=YHRvDo8rUoQ,,Alphaville - Forever Young (Official Video HD),1984
15,Louis Armstrong,WHAT A WONDERFUL WORLD,68443538,https://www.youtube.com/watch?v=VqhCQZaH4Vs,,Louis Armstrong - What A Wonderful World,1967
16,Guns N' Roses,NOVEMBER RAIN,2383907335,https://www.youtube.com/watch?v=8SbUC-UaAxE,,Guns N' Roses - November Rain,1992
17,The Police,EVERY BREATH YOU TAKE,1574149002,https://www.youtube.com/watch?v=OMOGaugKpzs,,The Police - Every Breath You Take (Official Music Video),1983
18,Pink Floyd,WISH YOU WERE HERE,136651029,https://www.youtube.com/watch?v=84Tq-eAJIk4,,Pink Floyd - Wish You Were Here (PULSE Restored & Re-Edited),1975
19,Marillion,KAYLEIGH,3516574,https://www.youtube.com/watch?v=0SUuEwhQ4ec,,MARILLION - Intro + Kayleigh + Lavender,1985
20,Kate Bush,RUNNING UP THAT HILL,369500830,https://www.youtube.com/watch?v=wp43OdtAAkM,,Kate Bush - Running Up That Hill - Official Music Video,1985
21,The Cranberries,ZOMBIE,1776583302,https://www.youtube.com/watch?v=6Ejga4kJUts,,The Cranberries - Zombie (Official Music Video),1994
22,Phil Collins,IN THE AIR TONIGHT,326592121,https://www.youtube.com/watch?v=YkADj0TPrJA,,Phil Collins - In The Air Tonight (Official Music Video),1981
23,Metallica,NOTHING ELSE MATTERS,1581929596,https://www.youtube.com/watch?v=tAGnKpE4NCI,,Metallica: Nothing Else Matters (Official Music Video),1992
24,Barbra Streisand,WOMAN IN LOVE,40595306,https://www.youtube.com/watch?v=hQLGCX8D-1Y,,Barbra Streisand - Woman in Love (Official Audio),1980
25,Nirvana,SMELLS LIKE TEEN SPIRIT,2109682712,https://www.youtube.com/watch?v=hTWKbfoikeg,,Nirvana - Smells Like Teen Spirit (Official Music Video),1991
