rank,artist,title,original_release_year
128,Pink Floyd,HEY YOU,1979
129,No Doubt,DON'T SPEAK,1995
130,USA For Africa,WE ARE THE WORLD,1985
131,The Alan Parsons Project,DON'T ANSWER ME,1984
132,Kraftwerk,DAS MODEL,1978
133,Sting,FIELDS OF GOLD,1993
134,Pearl Jam,JEREMY,1991
135,Roxette,LISTEN TO YOUR HEART,1988
136,Vangelis,CHARIOTS OF FIRE,1981
137,The Moody Blues,NIGHTS IN WHITE SATIN,1967
138,"Bryan Adams, Rod Stewart, Sting",ALL FOR LOVE,1993
139,Bruce Springsteen,BORN IN THE U.S.A.,1984
140,Classix Nouveaux,NEVER NEVER COMES,1983
141,Michael Kiwanuka,COLD LITTLE HEART,2016
142,Bee Gees,HOW DEEP IS YOUR LOVE,1977
143,Chris Rea,DRIVING HOME FOR CHRISTMAS,1986
144,Aretha Franklin,I SAY A LITTLE PRAYER,1968
145,Wham!,LAST CHRISTMAS,1984
146,Metallica,ONE,1988
147,Bryan Adams,(EVERYTHING I DO) I DO IT FOR YOU,1991
148,Billie Eilish,BIRDS OF A FEATHER,2024
149,Metallica,THE UNFORGIVEN,1991
150,The Doors,THE END,1967
151,Gary Moore,STILL GOT THE BLUES,1990
152,Alphaville,BIG IN JAPAN,1984
153,The Beatles,LET IT BE,1970
154,4 Non Blondes,WHAT'S UP,1993
155,George Michael,FREEDOM! 90,1990
156,Soundgarden,BLACK HOLE SUN,1994
157,Roxette,IT MUST HAVE BEEN LOVE,1987
158,George Michael & Queen,SOMEBODY TO LOVE (LIVE),1992
159,Edith Piaf,"NON, JE NE REGRETTE RIEN",1960
160,Ozzy Osbourne,MAMA I'M COMING HOME,1991
161,Ben E. King,STAND BY ME,1961
162,Clannad,ROBIN (THE HOODED MAN),1984
163,Disturbed,THE SOUND OF SILENCE,2015
164,The Mamas & The Papas,CALIFORNIA DREAMIN',1965
165,U2,I STILL HAVEN'T FOUND WHAT I'M LOOKING FOR,1987
166,Beverley Craven,PROMISE ME,1990
167,Eurythmics,HERE COMES THE RAIN AGAIN,1984
168,Iron Maiden,FEAR OF THE DARK,1992
