rank,artist,title,youtube_views,youtube_url,youtube_upload_date,youtube_video_title,original_release_year
41,Genesis,MAMA,35551648,https://www.youtube.com/watch?v=Ccs2rt0oSzQ,,Genesis - Mama (Official Music Video),
42,a-ha,TAKE ON ME,2320239719,https://www.youtube.com/watch?v=djV11Xbc914,,a-ha - Take On Me (Official Video) [4K],
43,Sting,ENGLISHMAN IN NEW YORK,350518084,https://www.youtube.com/watch?v=d27gTrPPAyk,,Sting - Englishman In New York,
44,AC/DC,HIGHWAY TO HELL,681854780,https://www.youtube.com/watch?v=gEPmA3USJdI,,"AC/DC - Highway to Hell (Live At River Plate, December 2009)",
45,R.E.M.,LOSING MY RELIGION,1401098228,https://www.youtube.com/watch?v=xwtdhWltSIg,,R.E.M. - Losing My Religion (Official HD Music Video),
46,Eric Clapton,TEARS IN HEAVEN,123363101,https://www.youtube.com/watch?v=JxPj3GAYYZ0,,Eric Clapton - Tears In Heaven (Official Video),
47,Pink Floyd,HIGH HOPES,136179296,https://www.youtube.com/watch?v=7jMlFXouPk8,,Pink Floyd - High Hopes (Official Music Video HD),
48,Phil Collins,ANOTHER DAY IN PARADISE,646449638,https://www.youtube.com/watch?v=Qt2mbGP6vFI,,Phil Collins - Another Day In Paradise (Official Music Video),
49,David Bowie & Pat Metheny,THIS IS NOT AMERICA,6806568,https://www.youtube.com/watch?v=bYkPtYw82f8,,This Is Not America (2002 Remaster),
50,Tina Turner & David Bowie,TONIGHT (LIVE),280576569,https://www.youtube.com/watch?v=ko7qunEkmzE,,Tina Turner & Eros Ramazzotti - Cose Della Vita - Live Munich (1998),
51,Monty Python,ALWAYS LOOK ON THE BRIGHT SIDE OF LIFE,16330936,https://www.youtube.com/watch?v=jHPOzQzk9Qo,,Monty Python - Always Look on the Bright Side of Life,
52,Chris Isaak,WICKED GAME,167777304,https://www.youtube.com/watch?v=ozv8ugNm0P0,,Chris Isaak - Wicked Game (Live),
53,Europe,THE FINAL COUNTDOWN,1380657578,https://www.youtube.com/watch?v=9jK-NcRmVcw,,Europe - The Final Countdown (Official Video),
54,Dire Straits,SULTANS OF SWING,514375973,https://www.youtube.com/watch?v=h0ffIJ7ZO4U,,Dire Straits - Sultans Of Swing (Official Music Video),
55,Bee Gees,STAYIN' ALIVE,468695091,https://www.youtube.com/watch?v=fNFzfwLM72c,,Bee Gees - Stayin' Alive (Official Music Video),
56,Gotye feat. Kimbra,SOMEBODY THAT I USED TO KNOW,2586218106,https://www.youtube.com/watch?v=8UVNT4wvIGY,,Gotye - Somebody That I Used To Know (feat. Kimbra) [Official Music Video],
57,Iggy Pop,THE PASSENGER,106670747,https://www.youtube.com/watch?v=-fWw7FE9tTo,,Iggy Pop - The Passenger (Official Video),
58,Bob Marley,"NO WOMAN, NO CRY",103595842,https://www.youtube.com/watch?v=mZ6VezKMoRY,,"Bob Marley & The Wailers - No Woman, No Cry (Live At The Rainbow 4th June 1977)",
59,Eurythmics,SWEET DREAMS (ARE MADE OF THIS),1125058409,https://www.youtube.com/watch?v=qeMFqkcPYcg,,"Eurythmics, Annie Lennox, Dave Stewart - Sweet Dreams (Are Made Of This) (Official Video)",
60,King Crimson,EPITAPH,11868909,https://www.youtube.com/watch?v=vXrpFxHfppI,,"King Crimson - Epitaph (Including ""March For No Reason"" and ""Tomorrow And Tomorrow"")",
61,Black,WONDERFUL LIFE,180049645,https://www.youtube.com/watch?v=u1ZoHfJZACA,,Black - Wonderful Life,
62,Nirvana,COME AS YOU ARE,669164459,https://www.youtube.com/watch?v=vabnZ9-ex7o,,Nirvana - Come As You Are (Official Music Video),
63,Pink Floyd,COMFORTABLY NUMB,291502526,https://www.youtube.com/watch?v=_FrOQC-zEog,,Pink Floyd - Comfortably numb,
64,The Police,ROXANNE,180149675,https://www.youtube.com/watch?v=3T1c7GkzRQQ,,The Police - Roxanne (Official Music Video),
65,Berlin,TAKE MY BREATH AWAY,597094640,https://www.youtube.com/watch?v=Bx51eegLTY8,,Berlin - Take My Breath Away (Official Video - Top Gun),
66,Queen & David Bowie,UNDER PRESSURE,260445992,https://www.youtube.com/watch?v=a01QQZyl-_I,,Queen and David Bowie - Under Pressure (Official Video),
67,Sting,FRAGILE,148659309,https://www.youtube.com/watch?v=lB6a-iD6ZOY,,Sting - Fragile,
68,U2,WITH OR WITHOUT YOU,390190300,https://www.youtube.com/watch?v=6DeDzsCGbsQ,,U2 - With Or Without You (U2 At The BBC),
69,Pink Floyd,ANOTHER BRICK IN THE WALL PART II,71123374,https://www.youtube.com/watch?v=krYK1jWz0Lo,,Pink Floyd - Another Brick In The Wall (Part 2) [PULSE Restored & Re-Edited],
70,Bobby McFerrin,"DON'T WORRY, BE HAPPY",1495916574,https://www.youtube.com/watch?v=ZbZSe6N_BXs,,Pharrell Williams - Happy (Official Video),
71,Tina Turner,PRIVATE DANCER,47519683,https://www.youtube.com/watch?v=d4QnalIHlVc,,Tina Turner - Private Dancer (Official Music Video) [4K Upgrade],
72,Toto,AFRICA,1209479732,https://www.youtube.com/watch?v=FTQbiNvZqaY,,Toto - Africa (Official HD Video),
73,The Rolling Stones,ANGIE,81933005,https://www.youtube.com/watch?v=RcZn2-bGXqQ,,The Rolling Stones - Angie - OFFICIAL PROMO (Version 1),
74,Bronski Beat,SMALLTOWN BOY,177677604,https://www.youtube.com/watch?v=88sARuFu-tc,,Bronski Beat - Smalltown Boy (Official Video),
75,ABBA,DANCING QUEEN,1056964714,https://www.youtube.com/watch?v=xFrGuyw1V8s,,ABBA - Dancing Queen (Official Music Video),
76,David Bowie,LET'S DANCE,79734479,https://www.youtube.com/watch?v=VbD_kBJc_gI,,David Bowie - Let's Dance (Official Video) [HD],
77,Dire Straits,MONEY FOR NOTHING,151751883,https://www.youtube.com/watch?v=wTP2RUD_cL0,,Dire Straits - Money For Nothing (Official Music Video),
78,Sade,SMOOTH OPERATOR,212018815,https://www.youtube.com/watch?v=4TYv2PhG89A,,Sade - Smooth Operator - Official - 1984,
79,Foreigner,I WANT TO KNOW WHAT LOVE IS,519279939,https://www.youtube.com/watch?v=r3Pr1_v7hsw,,Foreigner - I Want To Know What Love Is (Official Music Video),
